calinski_harabasz,dataset,davies_bouldin,dim,k,method,reduction,seed,silhouette,subset
52190.965,G_new,0.7703818170314607,100,20,all3,umap,11,0.49727705,exact_dedup_clean
54684.46,G_new,0.8971115579739433,100,60,all3,umap,11,0.41921082,exact_dedup_clean
51493.555,G_new,0.7993851611863314,200,20,all3,umap,11,0.48521322,exact_dedup_clean
54220.59,G_new,0.8959319056679494,200,60,all3,umap,11,0.41658887,exact_dedup_clean
51485.76,G_new,0.7760609336320179,50,20,all3,umap,11,0.49128476,exact_dedup_clean
54752.496,G_new,0.8063597867903443,50,20,all3,umap,22,0.4533786,exact_dedup_clean
52524.746,G_new,0.8104146198373524,50,20,all3,umap,33,0.49563006,exact_dedup_clean
50743.44,G_new,0.8671585839388948,50,20,all3,umap,44,0.48526827,exact_dedup_clean
52661.44,G_new,0.8154021831865682,50,20,all3,umap,55,0.4902627,exact_dedup_clean
52190.965,G_new,0.7703818170314607,100,20,all3,umap,11,0.49727705,exact_dedup_clean
51612.277,G_new,0.7993819475043613,100,20,all3,umap,22,0.49552995,exact_dedup_clean
52276.855,G_new,0.8839039089022684,100,20,all3,umap,33,0.4470364,exact_dedup_clean
50193.17,G_new,0.8394681493195078,100,20,all3,umap,44,0.4855182,exact_dedup_clean
51003.836,G_new,0.8511899918413558,100,20,all3,umap,55,0.45876798,exact_dedup_clean
54684.46,G_new,0.8971115579739433,100,60,all3,umap,11,0.41921082,exact_dedup_clean
53139.71,G_new,0.8623314025798312,100,60,all3,umap,22,0.42617008,exact_dedup_clean
54160.535,G_new,0.8822518051308204,100,60,all3,umap,33,0.40955812,exact_dedup_clean
53921.367,G_new,0.8769584502103726,100,60,all3,umap,44,0.42226234,exact_dedup_clean
54747.797,G_new,0.8710518397259643,100,60,all3,umap,55,0.41982698,exact_dedup_clean
51493.555,G_new,0.7993851611863314,200,20,all3,umap,11,0.48521322,exact_dedup_clean
52411.555,G_new,0.8207223264940671,200,20,all3,umap,22,0.48469555,exact_dedup_clean
49095.723,G_new,0.8521217055483294,200,20,all3,umap,33,0.45745224,exact_dedup_clean
53179.49,G_new,0.8358104606213296,200,20,all3,umap,44,0.48877832,exact_dedup_clean
52160.09,G_new,0.8623249732833289,200,20,all3,umap,55,0.44822016,exact_dedup_clean
