dataset,dataset_code,seed,method,umap_dim,n_clusters,acc_kept,coverage,rejection_rate,conservative_accuracy,ari_all,ari_kept,nmi_all,nmi_kept,ami_all,ami_kept,homogeneity,homogeneity_all,homogeneity_kept,completeness,completeness_all,completeness_kept,v_measure,v_measure_all,v_measure_kept,n_samples,n_kept,n_rejected,reduction,subset
PV-Vegetable,V_new,22,birch,100,60,0.9908973978430792,1.0,0.0,0.9908973978430792,0.4480100887214066,0.4480100887214066,0.7932040749533462,0.7932040749533462,0.7919452087834883,0.7919452087834883,0.9862818438443928,0.9862818438443928,0.9862818438443928,0.6633454029982689,0.6633454029982689,0.6633454029982689,0.7932040749533463,0.7932040749533463,0.7932040749533463,20214,20214,0,umap,exact_dedup_clean
PV-Vegetable,V_new,22,agg,100,60,0.9910458098347679,1.0,0.0,0.9910458098347679,0.4753516939208015,0.4753516939208015,0.8024607716299679,0.8024607716299679,0.8012394092400125,0.8012394092400125,0.986617515861659,0.986617515861659,0.986617515861659,0.6762378368472691,0.6762378368472691,0.6762378368472691,0.8024607716299679,0.8024607716299679,0.8024607716299679,20214,20214,0,umap,exact_dedup_clean
PV-Vegetable,V_new,22,kmeans_distance_reject,100,60,0.9946695706998336,0.8631146729989116,0.13688532700108835,0.8585139012565549,0.4602804309489549,0.5171257648972023,0.7959819952563734,0.8096918089122735,0.7947330282992724,0.8083419074684031,0.9896037031003856,0.9860959920853972,0.9896037031003856,0.6851332417689651,0.667325275836912,0.6851332417689651,0.8096918089122735,0.7959819952563733,0.8096918089122735,20214,17447,2767,umap,exact_dedup_clean
PV-Vegetable,V_new,33,all3,100,60,0.9949939927913496,0.7411694864945088,0.25883051350549124,0.7374591867022855,0.3973674286554235,0.5367216989103102,0.7744725286193008,0.8196873197204815,0.7731487979921998,0.8184699403087315,0.9906515350312132,0.9878124803307132,0.9906515350312132,0.6990474270753302,0.636916355522644,0.6990474270753302,0.8196873197204815,0.7744725286193009,0.8196873197204815,20214,14982,5232,umap,exact_dedup_clean
PV-Vegetable,V_new,33,any2,100,60,0.9926382912540826,0.9542396358959138,0.04576036410408628,0.9472148016226378,0.3973674286554235,0.40463268582084405,0.7744725286193008,0.7765831699152149,0.7731487979921998,0.7752115683995412,0.9882586132013464,0.9878124803307132,0.9882586132013464,0.6395893194185084,0.636916355522644,0.6395893194185084,0.7765831699152149,0.7744725286193009,0.7765831699152149,20214,19289,925,umap,exact_dedup_clean
PV-Vegetable,V_new,33,kmeans,100,60,0.99262887107945,1.0,0.0,0.99262887107945,0.3973674286554235,0.3973674286554235,0.7744725286193008,0.7744725286193008,0.7731487979921998,0.7731487979921998,0.9878124803307132,0.9878124803307132,0.9878124803307132,0.636916355522644,0.636916355522644,0.636916355522644,0.7744725286193009,0.7744725286193009,0.7744725286193009,20214,20214,0,umap,exact_dedup_clean
PV-Vegetable,V_new,33,birch,100,60,0.9890669832789156,1.0,0.0,0.9890669832789156,0.3613657347044236,0.3613657347044236,0.7626800962141183,0.7626800962141183,0.7613129364331129,0.7613129364331129,0.9863386908359912,0.9863386908359912,0.9863386908359912,0.621704607661037,0.621704607661037,0.621704607661037,0.7626800962141181,0.7626800962141181,0.7626800962141181,20214,20214,0,umap,exact_dedup_clean
PV-Vegetable,V_new,33,agg,100,60,0.9890175126150192,1.0,0.0,0.9890175126150192,0.4392823747030931,0.4392823747030931,0.7864718029498069,0.7864718029498069,0.7851890501138269,0.7851890501138269,0.9859999308278848,0.9859999308278848,0.9859999308278848,0.6541061070735256,0.6541061070735256,0.6541061070735256,0.7864718029498068,0.7864718029498068,0.7864718029498068,20214,20214,0,umap,exact_dedup_clean
PV-Vegetable,V_new,33,kmeans_distance_reject,100,60,0.9966626618608998,0.7411694864945088,0.25883051350549124,0.7386959532996933,0.3973674286554235,0.4497443159980081,0.7744725286193008,0.7926783507780806,0.7731487979921998,0.7910366847782416,0.9936536923155465,0.9878124803307132,0.9936536923155465,0.6593241481239189,0.636916355522644,0.6593241481239189,0.7926783507780806,0.7744725286193009,0.7926783507780806,20214,14982,5232,umap,exact_dedup_clean
PV-Vegetable,V_new,44,all3,100,60,0.9891938355743845,0.8057287028791926,0.19427129712080735,0.7970218660334422,0.4432412728667562,0.5132373063095103,0.7897003665645689,0.8074956626021756,0.7884266597555943,0.8061917211241892,0.9848499908927676,0.985916577711378,0.9848499908927676,0.6842704702031265,0.658622017897654,0.6842704702031265,0.8074956626021755,0.7897003665645689,0.8074956626021755,20214,16287,3927,umap,exact_dedup_clean
